,index,Grocery_Name
0,NUMERO UNO MARKET,5
1,SUPERIOR GROCERS,4
2,WHOLE FOODS MARKET,2
3,DAILY FOOD MARKET,2
4,WASHINGTON MINI MARKET,2
5,CATALINA LIQUOR ON 8TH,2
6,7-ELEVEN,2
7,ANGELICA'S MARKET,2
8,JK MARKET,2
9,MINI 99 JULIET,1
10,LA MILAGROSA MINI MARKET,1
11,EL CHARRITO MARKET,1
12,IZABAL MEAT MARKET,1
13,FOOD 4 LESS 344,1
14,DAMARIS MINI MARKET,1
15,HILL STREET FOOD MARKET,1
16,SONIA'S MARKET,1
17,GARCIA'S MINI MARKET #2,1
18,WESTSIDE MARKET 2,1
19,DIANA'S MINI MARKET,1
20,SAN JUDAS COLIMA STORE,1
21,HOOPER MARKET,1
22,ONE STOP LIQUOR WHOLEMART,1
23,L & M MINI MARKET,1
24,C & C LIQUOR,1
25,5 HERMANOS MARKET,1
26,SAN PEDRO AS MARKET,1
27,JIM'S MARKET,1
28,P & J  MARKET,1
29,OSCARS MINI MARKET 99,1
30,LARIOS MINI MARKET,1
31,Q & M STORE,1
32,L A MARKET,1
33,SAM'S MARKET,1
34,ENMANUEL MINI MARKET,1
35,ZELIAS MINI MARKET,1
36,SUSY'S PRODUCE,1
37,ADAIR MARKET,1
38,DANI MINI MARKET,1
39,PICO SMOKE SHOP AND MARKET,1
40,RENEW WELLNESS,1
41,RIGHT CHOICE CARIBBEAN MARKET,1
42,GUAPOS MARKET,1
43,ZUNIGA'S MARKET,1
44,RAY AND ROY'S MARKET,1
45,RALPHS GROCERY #283,1
46,FADY ONE STOP AUTO,1
47,LEONS MINI MARKET,1
48,99 & UP,1
49,AVILES SUPER MARKET,1
50,LA FAMILIA MARKET,1
51,HEALTH NUTRITION,1
52,TIENDA ALFA Y OMEGA,1
53,EAST VERNON MARKET,1
54,LAS ALONDRAS MINI MART,1
55,REGGIES LIQUOR & JR MARKET,1
56,BIG O LIQUOR,1
57,ANA'S MARKET,1
58,MARTHA'S MINI MARKET,1
59,COCO'S 99 CTS MINI MARKET,1
60,BERNARDO'S MINI MARKET,1
61,QUICK E MART,1
62,SMART & FINAL #456,1
63,7-ELEVEN #39560,1
64,K S MARKET,1
65,RAQUELITO'S MINI MARKET,1
66,EL CHIVISTA MEAT MARKET,1
67,ROSITAS MINI MARKET,1
68,LA CIG & 99,1
69,CHIVAS FARM MARKET,1
70,GARCIA MINI MARKET,1
71,ROYALTY MARKET,1
72,FIGUEROA MINIMARKET,1
73,TEDDY'S MARKET,1
74,CORONA MARKET,1
75,ODY MARKET,1
76,LA MAYORDOMIA,1
77,CASA LATINO XPRESS,1
78,CHEVRON STATIONS INC #1864,1
