PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
El Parque Nuestro,Open Access,0.5309853,"Los Angeles, County of",County Agency,Local Park,33.98236423,-118.2437133,1675 Gage Ave.,Los Angeles,90001,Yes,23129.625,738.9196542
Mary M. Bethune Park,Open Access,5.31487807,"Los Angeles, County of",County Agency,Local Park,33.98361981,-118.2530364,1244 E. 61st St.,Los Angeles,90001,Yes,231515.165,1990.206873
Watts Towers of Simon Rodia State Historic Park,Open Access,0.10821257,California Department of Parks and Recreation,State Agency,Regional Open Space,33.93873435,-118.2411148,1727 E 107th St,Los Angeles,90002,No,4713.720703,356.7573929
WAYS Reading and Fitness Park,Open Access,0.38758064,Heal the Bay,Non Profit - Other,Regional Open Space,33.95878844,-118.2608618,5115 Wilshire Blvd e,Los Angeles,90002,No,16882.94434,665.3515281
Metro Blue Line Open Space/Parkway,Open Access,3.6466976,"Los Angeles County Metropolitan Transportation Authority, County of",Transportation Agency,Natural Areas,33.94817823,-118.2431456,7225 Graham Ave,Los Angeles,90002,No,158849.5088,7322.743882
Watts Historic Train Station,Restricted Access,0.28785104,"Los Angeles, City of",City Agency,Regional Open Space,33.94294408,-118.2427528,Watts Historic Train Station,Los Angeles,90002,No,12538.74023,452.4518087
Watts Towers Art Center,Open Access,0.36447524,"Los Angeles, City of",City Agency,Regional Open Space,33.93882986,-118.2415341,1727 E 107th St,Los Angeles,90002,No,15876.47559,509.7354599
Watts Senior Citizen Center and Rose Garden,Open Access,1.30639972,"Los Angeles, City of",City Agency,Regional Open Space,33.94621598,-118.2438455,1657 E Century Blvd,Los Angeles,90002,No,56906.54297,971.5897433
Jordan Downs Rec. Center,Open Access,3.13555194,"Los Angeles, City of",City Agency,Local Park,33.94628571,-118.235825,9900  Grape St,Los Angeles,90002,No,136584.0967,1572.113145
Watts Cultural Crescent,Open Access,2.95670079,"Los Angeles, City of",City Agency,Natural Areas,33.93895687,-118.2409611,1765 E 107th St,Los Angeles,90002,No,128793.373,2852.110334
